id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,address
380,ZA-0139,small_airport,Tosca Airport,-25.8757,23.9629,0,Africa,ZA,North-West,Tosca,ZA-0139,,,
381,FATF,small_airport,Tommys Field Airport,-28.2600,22.9932,360,Africa,ZA,Northern Cape,Beeshoek,FATF,,,
382,FATB,small_airport,Thorny Bush Game Lodge Airport,-24.4161,31.1642,900,Africa,ZA,Mpumalanga,Hoedspruit,FATB,,,
383,FATH,small_airport,Thohoyandou Airport,-23.0769,30.3836,21,Africa,ZA,Limpopo,Thohoyandou,FATH,THY,,
384,ZA-0179,small_airport,The Haven Airstrip,-32.2426,28.9101,0,Africa,ZA,Eastern Cape,Mbhashe,ZA-0179,,,
385,FAGA,small_airport,The Grange Airport,-30.2670,29.9670,600,Africa,ZA,Kwazulu-Natal,Umzimkulu,FAGA,,,
386,FATI,small_airport,Thabazimbi Airport,-24.5761,27.4197,225,Africa,ZA,Limpopo,Thabazimbi,FATI,,,
387,FATG,small_airport,Thaba Tholo Airport,-24.2811,27.2294,200,Africa,ZA,Limpopo,Thabazimbi,FATG,,,
388,FATN,small_airport,Thaba Nchu Tar Airport,-29.3178,26.8228,941,Africa,ZA,Free State,Homeward,FATN,TCU,,
389,FATA,small_airport,Tedderfield Air Park,-26.3520,27.9682,198,Africa,ZA,Gauteng,Tedderfield,FATA,,,
390,ZA-0218,small_airport,Tankwa International Airport,-32.3341,19.7535,36,Africa,ZA,Northern Cape,Tankwa Town,ZA-0218,,,
391,ZA-0072,small_airport,Tanda Tula Airport,-24.5255,31.2897,555,Africa,ZA,Mpumalanga,Timbavati,ZA-0072,TDT,,
392,ZA-0080,small_airport,Swartwater Highway Strip Airport,-22.8395,28.2097,800,Africa,ZA,Limpopo,Swartwater,ZA-0080,,,
393,FASK,medium_airport,Swartkop Air Force Base,-25.8097,28.1646,780,Africa,ZA,Gauteng,Pretoria,FASK,,,
394,FASL,small_airport,Sutherland Airport,-32.4882,20.6971,247,Africa,ZA,Northern Cape,Sutherland,FASL,,,
395,ZA-0113,small_airport,Sunset Shores Airfield,-26.8512,28.1984,955,Africa,ZA,Gauteng,Sunset Shores,ZA-0113,,,
396,ZA-0209,heliport,Sunninghill Hospital Helipad,-26.0385,28.0700,787,Africa,ZA,Gauteng,Sandton,ZA-0209,,,
397,ZA-0024,small_airport,Sun Valley Airfield,-26.0333,27.9000,0,Africa,ZA,Gauteng,Sun Valley,ZA-0024,,,
398,ZA-0237,heliport,Sun City Heliport,-25.3417,27.0818,770,Africa,ZA,North-West,Moses Kotane,ZA-0237,,,
399,FATM,small_airport,Stutterheim Airport,-32.5667,27.4500,675,Africa,ZA,Eastern Cape,Stutterheim,FATM,,,
400,ZA-0196,Unknown,Stompneusbaai Airport [CLOSED],-32.7230,17.9704,0,Africa,ZA,Western Cape,Stompneusbaai,ZA-0196,,,
401,ZA-0007,Unknown,Stockdale Landing Strip Airport [CLOSED],-31.2451,26.2985,315,Africa,ZA,Eastern Cape,Alfalfa,ZA-0007,,,
402,FACY,small_airport,Stilbaai Airport,-34.3518,21.4248,266,Africa,ZA,Western Cape,Stilbaai,FACY,,,
403,FALR,small_airport,Steytlerville Airport,-33.3370,24.3214,450,Africa,ZA,Eastern Cape,Steytlerville,FALR,,,
404,ZA-0014,small_airport,Sterkfontein Airport,-28.3768,29.0062,479,Africa,ZA,Free State,Sterkfontein Dam,ZA-0014,,,
405,FASH,small_airport,Stellenbosch Airport,-33.9810,18.8223,295,Africa,ZA,Western Cape,Stellenbosch,FASH,,,
406,FAZQ,small_airport,Star Airport,-26.8931,27.6900,754,Africa,ZA,Free State,Star,FAZQ,,,
407,ZA-0186,small_airport,Stanley Island Airstrip,-34.0114,23.3992,0,Africa,ZA,Western Cape,Keurboomstrand,ZA-0186,,,
408,FASR,Unknown,Standerton Airport [CLOSED],-26.9270,29.2100,200,Africa,ZA,Mpumalanga,Standerton,FASR,,,
409,ZA-0065,small_airport,St Lucia Estuary,-28.3500,32.4167,60,Africa,ZA,Kwazulu-Natal,St Lucía,ZA-0065,,,
410,FACF,small_airport,St Francis Airfield,-34.1869,24.8350,131,Africa,ZA,Eastern Cape,St Francis Bay,FACF,,,
411,FASI,small_airport,Springs Airfield,-26.2494,28.3983,340,Africa,ZA,Gauteng,Del Fouche,FASI,,,
412,FASB,medium_airport,Springbok Airport,-29.6893,17.9396,690,Africa,ZA,Northern Cape,Springbok,FASB,SBU,,
413,ZA-0133,small_airport,Spektakel Airport,-29.6678,17.6008,615,Africa,ZA,Northern Cape,Spektakel,ZA-0133,,,
414,ZA-0257,small_airport,Southern Farms Airport,-28.5463,19.7149,749,Africa,ZA,Northern Cape,Schuitdrift,ZA-0257,,,
415,FALS,small_airport,Somersveld Airport,-33.2462,18.4800,196,Africa,ZA,Western Cape,Somersveld,FALS,,,
416,FAST,small_airport,Somerset East Airport,-32.7502,25.5950,349,Africa,ZA,Eastern Cape,Somerset East,FAST,,,
417,ZA-0166,small_airport,Sodwana Airstrip,-27.5677,32.6532,0,Africa,ZA,Kwazulu-Natal,Sodwana Bay,ZA-0166,,,
418,FASW,small_airport,Slurry Airport,-25.8156,25.8864,692,Africa,ZA,North-West,Slurry,FASW,,,
419,FASZ,medium_airport,Skukuza Airport,-24.9609,31.5887,20,Africa,ZA,Mpumalanga,Skukuza,FASZ,SZK,,
420,ZA-0264,small_airport,Skerpioenpunt Airport,-28.8689,22.1049,923,Africa,ZA,Northern Cape,Groblershoop,ZA-0264,,,
421,ZA-0127,Unknown,Skaapvlei Airport [CLOSED],-31.4997,18.0644,420,Africa,ZA,Western Cape,Skaapvlei,ZA-0127,,,
422,ZA-0159,small_airport,SKA SA Karoo Landing Strip,-30.6938,21.4608,427,Africa,ZA,Northern Cape,Carnarvon,ZA-0159,,,
