id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,address
1,FAOR,Large International,O.R. Tambo International Airport,-26.1392,28.246,5558,Africa,ZA,Gauteng,Johannesburg,FAOR,JNB,,1 Jones Rd, Kempton Park, Johannesburg, 1632, South Africa
2,FACT,Large International,Cape Town International Airport,-33.9648,18.6017,151,Africa,ZA,Western Cape,Cape Town,FACT,CPT,,Matroosfontein, Cape Town, 7490, South Africa
3,FALE,Large International,King Shaka International Airport,-29.6144,31.1197,295,Africa,ZA,KwaZulu-Natal,Durban,FALE,DUR,,King Shaka Dr, La Mercy, 4407, South Africa
200,FAGG,Regional,George Airport,-34.0056,22.3789,648,Africa,ZA,Western Cape,George,FAGG,GRJ,,R404, George, 6530, South Africa
201,FALA,International,Lanseria International Airport,-25.9386,27.9261,4517,Africa,ZA,Gauteng,Johannesburg,FALA,HLA,,Airport Rd, Lanseria, 1748, South Africa
202,FAPE,International,Chief Dawid Stuurman International Airport,-33.9849,25.6173,226,Africa,ZA,Eastern Cape,Gqeberha,FAPE,PLZ,,Allister Miller Dr, Walmer, Gqeberha, 6070, South Africa
203,FABL,International,Bram Fischer International Airport,-29.0922,26.3025,4457,Africa,ZA,Free State,Bloemfontein,FABL,BFN,,Airport Rd, Bloemfontein, 9301, South Africa
204,FAEL,Regional,East London Airport,-33.0356,27.8256,435,Africa,ZA,Eastern Cape,East London,FAEL,ELS,,Settlers Way, East London, 5201, South Africa
205,FAKN,Regional,Kimberley Airport,-28.8028,24.7653,3950,Africa,ZA,Northern Cape,Kimberley,FAKN,KIM,,Oliver Road, Kimberley, 8300, South Africa
206,FAUP,International,Upington International Airport,-28.4006,21.2603,2791,Africa,ZA,Northern Cape,Upington,FAUP,UTN,,Diedericks St, Upington, 8801, South Africa
207,FAQM,International,Kruger Mpumalanga International Airport,-25.3832,31.0981,2829,Africa,ZA,Mpumalanga,Nelspruit,FAQM,MQP,,R538, White River, 1240, South Africa
208,FAWB,General Aviation,Wonderboom Airport,-25.6539,28.2242,4095,Africa,ZA,Gauteng,Pretoria,FAWB,PRY,,Lintvelt Rd, Wonderboom, Pretoria, 0182, South Africa
209,FAGC,General Aviation,Grand Central Airport,-25.9869,28.1425,5325,Africa,ZA,Gauteng,Midrand,FAGC,GCJ,,New Rd, Midrand, 1685, South Africa
210,FAHO,Military/Civilian,Hoedspruit Air Force Base,-24.3617,31.0503,1738,Africa,ZA,Limpopo,Hoedspruit,FAHO,HDS,,Air Force Base, Hoedspruit, 1380, South Africa
211,FAPB,Regional,Phalaborwa Airport,-23.9372,31.1556,1432,Africa,ZA,Limpopo,Phalaborwa,FAPB,PHW,,President Steyn St, Phalaborwa, 1390, South Africa
212,FAPM,Regional,Pietermaritzburg Airport,-29.6492,30.3986,2423,Africa,ZA,KwaZulu-Natal,Pietermaritzburg,FAPM,PZB,,Oribi Rd, Bisley, Pietermaritzburg, 3201, South Africa
213,FARB,Regional,Richards Bay Airport,-28.7419,32.0922,109,Africa,ZA,KwaZulu-Natal,Richards Bay,FARB,RCB,,Fish Eagle Flight, Richards Bay, 3900, South Africa
214,FASZ,Regional,Skukuza Airport,-24.9614,31.5864,1020,Africa,ZA,Mpumalanga,Skukuza,FASZ,SZK,,Skukuza Rest Camp, Kruger National Park, 1350, South Africa
215,FATP,General Aviation,New Tempe Airport,-29.0325,26.1586,4526,Africa,ZA,Free State,Bloemfontein,FATP,,,"Kenilworth Rd, Bloemfontein, 9301, South Africa"
216,FAVR,Small,Vredendal Airport,-31.6422,18.5433,330,Africa,ZA,Western Cape,Vredendal,FAVR,VRE,,"R362, Vredendal, 8160, South Africa"
300,FADQ,small_airport,Zulu Inyala Airport,-27.8494,32.3097,160,Africa,ZA,Kwazulu-Natal,Phinda,FADQ,PZL,,
301,ZA-0266,small_airport,Zilverstroom Farm Airport,-29.5561,22.8968,130,Africa,ZA,Northern Cape,Prieska,ZA-0266,,,
302,ZA-0220,small_airport,Zilkaats Airstrip,-25.6584,27.8825,980,Africa,ZA,North-West,Brits,ZA-0220,,,
303,FAZR,small_airport,Zeerust Airport,-25.5990,26.0423,258,Africa,ZA,North-West,Zeerust,FAZR,,,
304,ZA-0114,small_airport,Zebula Airstrip,-24.7567,27.9691,209,Africa,ZA,Limpopo,Bela-Bela,ZA-0114,,,
305,ZA-0334,Unknown,Zastron Airport [CLOSED],-30.3062,27.1069,265,Africa,ZA,Free State,Zastron,ZA-0334,,,
306,FAYP,medium_airport,Ysterplaat Air Force Base,-33.9002,18.4983,52,Africa,ZA,Western Cape,Cape Town,FAYP,,,
307,FAWC,small_airport,Worcester Glider Airport,-33.6631,19.4153,673,Africa,ZA,Western Cape,Worcester,FAWC,,,
308,FAWB,medium_airport,Wonderboom Airport,-25.6539,28.2242,95,Africa,ZA,Gauteng,Pretoria,FAWB,PRY,,
309,FAWD,small_airport,Wolmeransstad Airport,-27.1700,25.9800,513,Africa,ZA,North-West,Wolmeransstad,FAWD,,,
310,ZA-0276,small_airport,Witfontein Airport,-29.2769,23.9052,520,Africa,ZA,Northern Cape,Salt Lake,ZA-0276,,,
311,FATW,small_airport,Witberg Tswalu Airport,-27.2050,22.4819,921,Africa,ZA,Northern Cape,Tswalo Game Reserve,FATW,,,
312,FAWI,small_airport,Witbank Airport,-25.8323,29.1920,78,Africa,ZA,Mpumalanga,Witbank,FAWI,,,
313,FAWT,small_airport,Winterveldt Mine Airport,-24.6601,30.1804,0,Africa,ZA,Limpopo,Doornbosch,FAWT,,,
314,ZA-0182,small_airport,Wings Park Airfield,-32.8248,27.8357,0,Africa,ZA,Eastern Cape,East London,ZA-0182,,,
315,ZA-0194,Unknown,Wingfield Air Base [CLOSED],-33.9070,18.5304,0,Africa,ZA,Western Cape,Cape Town,ZA-0194,,,
316,FAWO,small_airport,Willowmore Airport,-33.2633,23.4906,608,Africa,ZA,Eastern Cape,Willowmore,FAWO,,,
317,FAWL,small_airport,Williston Airport,-31.3836,20.9328,484,Africa,ZA,Northern Cape,Williston,FAWL,,,
318,ZA-0347,small_airport,Wild Rivers Airfield,-24.2745,30.8896,637,Africa,ZA,Limpopo,Hoedspruit,ZA-0347,,,
319,FAWV,small_airport,White River Mercy Air,-25.3197,30.9708,932,Africa,ZA,Free State,White River,FAWV,,,
320,ZA-0180,small_airport,Whats Landing Airport,-32.9019,28.0491,0,Africa,ZA,Eastern Cape,Kwelega,ZA-0180,,,
321,ZA-0290,heliport,West Vaal Hospital Heliport,-26.9646,26.6736,314,Africa,ZA,North-West,Orkney,ZA-0290,,,
322,FAWS,small_airport,Wesselbronn Af Airport,-27.8467,26.3506,301,Africa,ZA,Free State,Wesselsbron,FAWS,,,
323,FAWP,Unknown,Wepener Airport [CLOSED],-29.7418,27.0233,755,Africa,ZA,Free State,Wepener,FAWP,,,
324,ZA-0175,heliport,Wentworth Hospital Helipad,-29.9329,30.9891,0,Africa,ZA,Kwazulu-Natal,Bluff,ZA-0175,,,
325,FAWM,small_airport,Welkom Airport,-27.9968,26.6633,421,Africa,ZA,Free State,Welkom,FAWM,WEL,,
326,ZA-0232,small_airport,Welgevonden Western Airstrip,-24.2861,27.7867,400,Africa,ZA,Limpopo,Welgevonden Game Reserve,ZA-0232,,,
327,FAWE,small_airport,Welgevonden Reserve,-24.2046,27.9000,609,Africa,ZA,Limpopo,Waterberg,FAWE,,,
328,FAWR,small_airport,Wavecrest Airport,-32.5899,28.5185,89,Africa,ZA,Eastern Cape,Wavecrest,FAWR,,,
329,FAWK,medium_airport,Waterkloof Air Force Base,-25.8300,28.2225,940,Africa,ZA,Gauteng,Pretoria,FAWK,WKF,,
330,ZA-0207,heliport,Waterfall City Hospital Helipad,-26.0135,28.1022,888,Africa,ZA,Gauteng,Midrand,ZA-0207,,,
331,ZA-0050,Unknown,Warrenton Airport [CLOSED],-28.1222,24.8688,798,Africa,ZA,Northern Cape,Warrenton,ZA-0050,,,
332,FAWA,small_airport,Warmbaths Airport,-24.9100,28.3000,655,Africa,ZA,Limpopo,Warmbaths,FAWA,,,
333,FADU,small_airport,Walkersons Field,-25.3628,30.1878,41,Africa,ZA,Mpumalanga,Dullstroom,FADU,,,
334,ZA-0028,small_airport,Wakkerstroom Airport,-27.3500,30.1667,848,Africa,ZA,Mpumalanga,Wakkerstroom,ZA-0028,,,
335,FAVY,small_airport,Vryheid Airport,-27.7869,30.7964,799,Africa,ZA,Kwazulu-Natal,Vryheid,FAVY,VYD,,
336,FAVB,medium_airport,Vryburg Airport,-26.9824,24.7288,920,Africa,ZA,North-West,Vyrburg,FAVB,VRU,,
337,FAVR,medium_airport,Vredendal Airport,-31.6410,18.5448,330,Africa,ZA,Western Cape,Vredendal,FAVR,VRE,,
338,FAVD,small_airport,Vrede Airport,-27.4403,29.1531,499,Africa,ZA,Free State,Vrede,FAVD,,,
339,ZA-0149,small_airport,Vosburg Airport,-30.5883,22.8942,0,Africa,ZA,Northern Cape,Vosburg,ZA-0149,,,
340,FAVI,small_airport,Von Abo's Villa Airport,-27.6106,26.6835,304,Africa,ZA,Free State,Von Abo's Villa,FAVI,,,
341,FAVU,small_airport,Volksrust Airport,-27.3769,29.8600,610,Africa,ZA,Mpumalanga,Volksrust,FAVU,,,
342,ZA-0198,Unknown,Voelklip Airfield [CLOSED],-31.3567,17.9214,0,Africa,ZA,Western Cape,Matzikama,ZA-0198,,,
343,ZA-0164,small_airport,Vlakteplaas Airstrip,-33.9690,24.9398,216,Africa,ZA,Eastern Cape,Jeffreys Bay,ZA-0164,,,
344,FAVG,medium_airport,Virginia Airport,-29.7706,31.0584,20,Africa,ZA,Kwazulu-Natal,Durban,FAVG,VIR,,
345,ZA-0023,small_airport,Villiers Airport,-27.0500,28.6000,97,Africa,ZA,Free State,Villers,ZA-0023,,,
346,FAVW,small_airport,Victoria West Airport,-31.3994,23.1564,124,Africa,ZA,Northern Cape,Victoria West,FAVW,,,
347,FAVV,medium_airport,Vereeniging Airport,-26.5664,27.9608,846,Africa,ZA,Gauteng,Vereeniging,FAVV,,,
348,FAVF,small_airport,Verborgenfontei Airport,-31.1658,23.8094,360,Africa,ZA,Northern Cape,Verborgenfontein,FAVF,,,
349,ZA-0008,Unknown,Venterstad Airport [CLOSED],-30.7757,25.7897,200,Africa,ZA,Eastern Cape,Venterstad,ZA-0008,,,
350,FAVE,small_airport,Ventersdorp Airport,-26.3009,26.8142,917,Africa,ZA,North-West,Ventersdorp,FAVE,,,
351,FAVM,small_airport,Venetia Mine Airport,-22.4481,29.3377,333,Africa,ZA,Limpopo,Alldays,FAVM,,,
352,FAVS,small_airport,Vastrap Airport,-27.8346,21.6304,245,Africa,ZA,Northern Cape,Upington,FAVS,,,
353,ZA-0123,small_airport,Vanrhynsdorp Airport,-31.5943,18.7468,490,Africa,ZA,Western Cape,Vanrhynsdorp,ZA-0123,,,
354,ZA-0034,small_airport,Vanggatfontein Airport,-26.2000,28.8167,100,Africa,ZA,Mpumalanga,MIddelburg,ZA-0034,,,
355,FAVP,small_airport,Vanderbijlpark Airport,-26.6903,27.7771,861,Africa,ZA,Gauteng,Vanderbijlpark,FAVP,,,
356,ZA-0150,small_airport,Van Zylsrus Airport,-26.8873,22.0630,0,Africa,ZA,Northern Cape,Van Zylsrus,ZA-0150,,,
357,ZA-0310,small_airport,Valencia Private Airstrip,-29.0275,26.0948,0,Africa,ZA,Free State,Bloemfontein,ZA-0310,,,
358,FAVA,small_airport,Vaalputs Airport,-30.1342,18.5267,340,Africa,ZA,Northern Cape,Vaalputs,FAVA,,,
359,ZA-0262,small_airport,Vaalkoppies Settlement Airport,-28.4463,21.3429,733,Africa,ZA,Northern Cape,Vaalkoppies Settlement,ZA-0262,,,
360,ZA-0152,small_airport,Vaal Dam Airfield,-26.9225,28.1651,0,Africa,ZA,Free State,Deneysville,ZA-0152,,,
361,FAUR,small_airport,Utrecht Airport,-27.6805,30.3168,101,Africa,ZA,Kwazulu-Natal,Utrecht,FAUR,,,
362,FAUB,small_airport,Underberg Airport,-29.7884,29.4983,57,Africa,ZA,Kwazulu-Natal,Underberg,FAUB,,,
363,ZA-0298,small_airport,Umbabat Aero Camp Airfield,-24.5255,31.1197,896,Africa,ZA,Limpopo,Umbabat,ZA-0298,,,
364,FAUS,small_airport,Ulusaba Airport,-24.7854,31.3549,263,Africa,ZA,Limpopo,Ulusaba,FAUS,ULX,,
365,ZA-0201,heliport,Ultimate Heliport,-26.0284,28.1108,826,Africa,ZA,Gauteng,Midrand,ZA-0201,,,
366,FAUC,small_airport,Ulco Airport,-28.3545,24.2291,512,Africa,ZA,Northern Cape,Ulco,FAUC,,,
367,FAUH,small_airport,Uitenhage Airport,-33.7853,25.3833,289,Africa,ZA,Eastern Cape,Uitenhage,FAUH,,,
368,FAUG,small_airport,Ugie Airport,-31.2200,28.2100,580,Africa,ZA,Eastern Cape,Ugie,FAUG,,,
369,FATZ,medium_airport,Tzaneen Airport,-23.8244,30.3293,914,Africa,ZA,Limpopo,Tzaneen,FATZ,LTA,,
370,ZA-0278,small_airport,Tzamenkomst Airport,-30.5987,25.3082,49,Africa,ZA,Northern Cape,Colesberg,ZA-0278,,,
371,ZA-0296,small_airport,Twee Rivieren Airport,-26.4487,20.6072,933,Africa,ZA,Northern Cape,Twee Rivieren,ZA-0296,,,
372,ZA-0248,small_airport,Tutwa Airfield,-28.5967,19.8414,0,Africa,ZA,Northern Cape,Augrabies,ZA-0248,,,
373,FATT,small_airport,Tutuka Power Station Airport,-26.7751,29.3375,313,Africa,ZA,Mpumalanga,Standerton,FATT,,,
374,ZA-0331,Unknown,Tsitsikama Fly Airport [CLOSED],-34.0847,24.2897,381,Africa,ZA,Eastern Cape,Tsitsikama,ZA-0331,,,
375,ZA-0098,small_airport,Tshipise Airport,-22.6193,30.1756,786,Africa,ZA,Limpopo,Tshipise,ZA-0098,TSD,,
376,ZA-0291,heliport,Tshepong Hospital,-26.8874,26.6167,373,Africa,ZA,North-West,Klerksdorp,ZA-0291,,,
377,ZA-0245,heliport,Trollope Mining Services Heliport,-26.0067,28.3444,0,Africa,ZA,Gauteng,Johannesburg,ZA-0245,,,
